City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
78,University Place,US,47.2356,-122.5504,45.37,92,100,5.75,overcast clouds
79,Buchanan,LR,5.8808,-10.0467,77.81,86,12,3.87,few clouds
80,Sinnamary,GF,5.3833,-52.95,76.71,86,99,6.29,overcast clouds
81,Ribeira Grande,PT,38.5167,-28.7,64.78,87,19,23.0,few clouds
82,Hofn,IS,64.2539,-15.2082,32.56,67,10,18.43,clear sky
83,Carnarvon,AU,-24.8667,113.6333,75.52,63,0,15.68,clear sky
84,Moose Factory,CA,51.2585,-80.6094,-5.82,84,0,2.3,clear sky
85,Inongo,CD,-1.95,18.2667,70.18,96,96,2.04,light rain
86,Saint-Pierre,RE,-21.3393,55.4781,74.91,73,14,3.44,few clouds
87,Tahoua,NE,14.8888,5.2692,67.23,17,100,12.73,overcast clouds
88,Andenes,NO,69.3143,16.1194,24.93,73,5,8.05,clear sky
89,Hithadhoo,MV,-0.6,73.0833,80.89,77,100,12.01,overcast clouds
90,Saint Anthony,US,45.0205,-93.218,33.42,79,75,6.91,broken clouds
91,Mango,US,27.9797,-82.3065,67.08,90,40,1.01,scattered clouds
92,Bom Jesus,BR,-9.0744,-44.3586,75.38,75,49,2.55,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,70.81,92,100,17.38,light rain
94,Voyinka,UA,45.8699,33.9914,55.9,85,100,9.4,overcast clouds
95,Manono,CD,-7.3,27.4167,67.5,98,95,2.19,moderate rain
96,Nishihara,JP,26.1842,127.7558,69.46,71,75,14.97,broken clouds
97,Lethem,GY,3.3803,-59.7968,76.24,86,100,7.94,overcast clouds
98,Batagay-Alyta,RU,67.8006,130.4114,-24.86,88,100,4.36,overcast clouds
99,Kawambwa,ZM,-9.7915,29.0791,61.07,97,93,2.77,light rain
100,Biak,ID,-0.9131,122.8766,83.37,66,100,0.67,overcast clouds
101,Naze,JP,28.3667,129.4833,63.52,60,39,12.57,scattered clouds
102,Tolaga Bay,NZ,-38.3667,178.3,67.03,82,100,7.36,light rain
103,Qaanaaq,GL,77.484,-69.3632,-12.24,65,0,10.76,clear sky
104,Mareeba,AU,-17.0,145.4333,90.45,58,87,5.03,overcast clouds
105,Kralendijk,BQ,12.15,-68.2667,78.78,73,40,9.22,scattered clouds
106,Linfen,CN,36.0889,111.5189,35.42,15,0,7.61,clear sky
107,Severo-Kurilsk,RU,50.6789,156.125,25.32,61,97,23.73,light snow
108,Clyde River,CA,70.4692,-68.5914,-5.57,77,75,6.91,broken clouds
109,Beloha,MG,-25.1667,45.05,74.66,77,87,9.69,overcast clouds
110,Santa Maria,BR,-29.6842,-53.8069,74.5,64,0,1.14,clear sky
111,Port Alfred,ZA,-33.5906,26.891,67.17,98,95,4.0,overcast clouds
112,Roma,US,43.2128,-75.4557,34.09,94,100,9.22,mist
113,Alice Springs,AU,-23.7,133.8833,74.75,38,9,12.66,clear sky
114,San Cristobal,VE,7.7669,-72.225,68.18,96,59,1.19,broken clouds
115,Bathsheba,BB,13.2167,-59.5167,75.06,84,20,6.91,few clouds
116,Pevek,RU,69.7008,170.3133,-16.49,98,100,17.22,light snow
117,Baykit,RU,61.67,96.37,-15.72,97,100,3.98,overcast clouds
118,Saint-Paul,RE,-21.0096,55.2707,75.36,79,46,1.92,scattered clouds
119,Baker City,US,44.7749,-117.8344,34.59,99,100,3.44,overcast clouds
120,Pangody,RU,65.85,74.4859,-20.65,99,52,7.85,broken clouds
121,Ugoofaaru,MV,5.6667,73.0,80.47,79,100,13.38,overcast clouds
122,Olafsvik,IS,64.8945,-23.7142,35.51,67,5,2.91,clear sky
123,Paris,FR,48.8534,2.3488,30.07,93,100,6.91,mist
124,Castro,BR,-24.7911,-50.0119,65.61,95,92,2.55,overcast clouds
125,Atuona,PF,-9.8,-139.0333,78.42,77,17,18.68,few clouds
126,Cap Malheureux,MU,-19.9842,57.6142,76.46,69,0,7.0,clear sky
127,Slave Lake,CA,55.2834,-114.769,-2.22,71,100,21.85,light snow
128,Thompson,CA,55.7435,-97.8558,28.56,93,100,3.44,overcast clouds
129,Port Elizabeth,ZA,-33.918,25.5701,73.09,93,20,18.41,few clouds
130,Rawson,AR,-43.3002,-65.1023,58.57,66,100,9.6,overcast clouds
131,Chuy,UY,-33.6971,-53.4616,73.38,74,98,5.68,overcast clouds
132,Provideniya,RU,64.3833,-173.3,15.91,79,100,20.13,overcast clouds
133,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,79,1.99,broken clouds
134,Volga,RU,57.9516,38.3879,25.0,95,100,15.32,snow
135,Verkhnyaya Inta,RU,65.9811,60.3094,-21.86,98,96,3.98,overcast clouds
136,Yellowknife,CA,62.456,-114.3525,-8.88,84,100,3.44,light snow
137,Bandiagara,ML,14.3501,-3.6104,69.98,13,0,8.97,clear sky
138,San Vicente,AR,-26.6167,-54.1333,65.35,94,100,1.7,overcast clouds
139,Klyuchi,RU,52.2667,79.1667,6.35,98,91,4.12,overcast clouds
140,Tuku,TW,23.6778,120.3926,69.3,64,79,13.87,broken clouds
