,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
617,Columbus,US,40.66,overcast clouds,39.9612,-82.9988,Sheraton Columbus Hotel at Capitol Square
621,Isangel,VU,83.21,few clouds,-19.55,169.2667,Tanna Lodge
622,Plettenberg Bay,ZA,68.05,overcast clouds,-34.0527,23.3716,Milkwood Manor
623,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Vahiny Hotel
624,Ketchikan,US,30.18,clear sky,55.3422,-131.6461,Cape Fox Lodge
625,Sanming,CN,52.02,overcast clouds,26.2486,117.6186,三明客家宾馆
628,Porto Belo,BR,76.78,broken clouds,-27.1578,-48.5531,Residencial Maravilha
629,Kalmar,SE,26.96,overcast clouds,56.6616,16.3616,Frimurarehotellet
632,Marawi,PH,80.22,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
633,La Crosse,US,35.53,overcast clouds,43.8014,-91.2396,Bentley-Wheeler Bed and Breakfast
634,Sale,MA,68.76,moderate rain,34.0389,-6.8166,Le dawliz
635,Ambilobe,MG,72.81,clear sky,-13.2,49.05,Hôtel National
639,Marinette,US,32.49,overcast clouds,45.1,-87.6307,Best Western Riverfront Inn
640,Valdosta,US,59.04,scattered clouds,30.8327,-83.2785,Comfort Inn & Suites
641,Fomboni,KM,81.46,clear sky,-12.28,43.7425,Mohéli La Plage
644,Mikhaylovka,RU,30.78,few clouds,50.06,43.2379,Дружба
646,Worland,US,40.35,clear sky,44.0169,-107.9554,Town House Motor Inn
649,Guymon,US,51.8,clear sky,36.6828,-101.4816,Comfort Inn & Suites
655,Antigonish,CA,26.15,overcast clouds,45.6169,-61.9986,Microtel Hotel
656,Bonavista,CA,27.09,overcast clouds,48.6499,-53.1147,Harbour Quarters Inn
658,Sao Joao Nepomuceno,BR,74.59,overcast clouds,-21.54,-43.0106,Hotel Central
659,Jennings,US,38.01,overcast clouds,38.7192,-90.2604,Carousel Motel
660,Quang Ngai,VN,69.53,overcast clouds,15.1167,108.8,Ngoc Anh
664,San Quintin,MX,59.97,overcast clouds,30.4833,-115.95,Jardines Hotel
665,Hirtshals,DK,27.59,overcast clouds,57.5881,9.9592,Hotel Hirtshals
668,Ahipara,NZ,69.82,clear sky,-35.1667,173.1667,YHA Ahipara
669,Santa Isabel Do Rio Negro,BR,75.69,few clouds,-0.4139,-65.0192,Hotel Maikon
676,Marsa Matruh,EG,64.83,broken clouds,31.3525,27.2453,صقور
677,Escuinapa,MX,68.27,clear sky,22.85,-105.8,Hotel Iq
678,Ikom,NG,71.67,clear sky,5.9667,8.7063,Gold Palm Hotels
680,Itarema,BR,79.5,broken clouds,-2.9248,-39.9167,Pousada Oásis
681,Davila,PH,82.38,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
683,Camopi,GF,70.61,overcast clouds,3.1655,-52.3158,Chez Lucia
684,Inhambane,MZ,76.35,overcast clouds,-23.865,35.3833,Hotel de Inhambane
687,Daru,PG,83.82,light rain,-9.0763,143.2092,Kuki
688,Mwandiga,TZ,70.11,light rain,-4.83,29.6581,Mulukoyoyo Ndogo Guesthouse
695,Repnoye,RU,27.95,overcast clouds,51.5921,43.1861,Ресторанно-гостиничный комплекс «Козырь»
697,Blenheim,NZ,74.52,clear sky,-41.516,173.9528,Chateau Marlborough
701,Skegness,GB,35.06,overcast clouds,53.1436,0.3363,The Cedars
702,Ternate,ID,81.55,overcast clouds,0.8,127.4,Boulivard ternate
703,Nassau,US,38.7,light rain,40.7507,-73.5829,Hilton Garden Inn
704,Anloga,GH,80.55,scattered clouds,5.7947,0.8973,Hotel de White House
706,Ngunguru,NZ,67.68,scattered clouds,-35.6167,174.5,Oceans Tutukaka
708,Duluth,US,35.29,overcast clouds,46.7833,-92.1066,Radisson Hotel Duluth-Harborview
710,Seydisehir,TR,45.43,moderate rain,37.4193,31.8453,sey-han hotel
714,Sorland,NO,31.86,clear sky,67.667,12.6934,Fagmek Resorts
716,Manokwari,ID,78.33,heavy intensity rain,-0.8667,134.0833,Hotel Arfak
718,Jiexiu,CN,27.66,clear sky,37.0244,111.9125,友谊宾馆
721,Bose,IT,31.77,few clouds,45.4612,8.0137,Hotel Ristorante Taverna Verde
722,Maarianhamina,AX,26.46,overcast clouds,60.0973,19.9348,Hotell Esplanad
726,Cody,US,33.64,clear sky,44.5263,-109.0565,Comfort Inn At Buffalo Bill Village Resort
730,Ballitoville,ZA,73.17,overcast clouds,-29.539,31.2144,The Vineyard On Ballito
731,Okato,NZ,67.68,clear sky,-39.2,173.8833,Stony River Boutique Hotel
732,Santa Cruz De Tenerife,ES,77.29,clear sky,28.4682,-16.2546,Hotel Príncipe Paz
733,Baghdad,IQ,46.31,mist,33.3406,44.4009,AL Bedaa Hotel
734,Upala,CR,76.15,overcast clouds,10.8979,-85.0145,Hotel Rosita
735,Noumea,NC,85.98,few clouds,-22.2763,166.4572,Hotel Gondwana
737,Singaraja,ID,85.19,broken clouds,-8.112,115.0882,Hotel Sentral
742,Hammond,US,39.49,overcast clouds,41.5834,-87.5,Fairfield Inn & Suites by Marriott Chicago Southeast/Hammond
743,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Coco Villa
744,Nabire,ID,75.4,overcast clouds,-3.3667,135.4833,Hotel Anggrek
746,Okiot,PH,87.91,overcast clouds,9.5667,123.1667,Seaside Homestay
